INVDET_TXNDATE,INVDET_PROCODE,sale,qty
5/11/2025,2,4640,58
5/12/2025,2,3120,39
5/13/2025,2,1600,20
5/14/2025,2,3520,44
5/15/2025,2,4160,52
5/16/2025,2,13460,187
5/17/2025,2,2760,34
5/18/2025,2,4980,62
5/19/2025,2,2660,33
5/20/2025,2,3880,47
5/21/2025,2,4920,60
5/22/2025,2,3660,39
5/23/2025,2,8300,83
5/24/2025,2,3000,30
5/25/2025,2,10500,105
5/26/2025,2,5900,59
5/27/2025,2,2500,25
5/28/2025,2,11050,142
5/29/2025,2,900,9
5/30/2025,2,1700,17
5/31/2025,2,1700,17
6/1/2025,2,2700,27
6/2/2025,2,3300,33
6/3/2025,2,1500,15
6/4/2025,2,1000,10
6/5/2025,2,600,6
6/6/2025,2,3940,55
5/24/2023,3,160,1
5/25/2023,3,320,2
5/26/2023,3,320,2
5/29/2023,3,160,1
5/30/2023,3,640,4
5/31/2023,3,160,1
6/1/2023,3,160,1
6/6/2023,3,480,3
6/7/2023,3,800,5
6/9/2023,3,480,3
6/19/2023,3,320,2
6/21/2023,3,640,4
6/22/2023,3,160,1
6/23/2023,3,1760,11
6/24/2023,3,320,2
6/26/2023,3,1280,8
6/29/2023,3,160,1
7/1/2023,3,1280,8
7/4/2023,3,160,1
7/6/2023,3,1280,8
7/9/2023,3,160,1
7/10/2023,3,320,2
7/12/2023,3,160,1
7/13/2023,3,160,1
7/14/2023,3,160,1
7/16/2023,3,800,5
7/17/2023,3,320,2
7/18/2023,3,1440,9
7/19/2023,3,320,2
7/21/2023,3,480,3
7/22/2023,3,960,6
7/23/2023,3,640,4
7/24/2023,3,160,1
7/25/2023,3,160,1
7/26/2023,3,640,4
7/27/2023,3,160,1
7/28/2023,3,480,3
7/29/2023,3,1600,10
7/30/2023,3,320,2
7/31/2023,3,640,4
8/1/2023,3,1120,7
8/2/2023,3,640,4
8/4/2023,3,1120,7
8/7/2023,3,1440,9
8/9/2023,3,960,6
8/12/2023,3,2240,14
8/14/2023,3,160,1
8/15/2023,3,320,2
8/16/2023,3,480,3
8/20/2023,3,320,2
8/22/2023,3,160,1
8/23/2023,3,1760,11
8/24/2023,3,160,1
8/25/2023,3,320,2
8/27/2023,3,160,1
8/28/2023,3,320,2
8/29/2023,3,160,1
9/5/2023,3,320,2
9/6/2023,3,160,1
9/8/2023,3,320,2
9/9/2023,3,960,6
9/10/2023,3,160,1
9/14/2023,3,160,1
9/16/2023,3,1280,8
9/17/2023,3,160,1
9/19/2023,3,320,2
9/21/2023,3,320,2
9/22/2023,3,960,6
9/24/2023,3,320,2
9/26/2023,3,160,1
9/28/2023,3,480,3
9/29/2023,3,480,3
9/30/2023,3,160,1
10/1/2023,3,480,3
10/2/2023,3,320,2
10/3/2023,3,160,1
10/4/2023,3,800,5
10/5/2023,3,160,1
10/8/2023,3,480,3
10/9/2023,3,960,6
10/10/2023,3,160,1
10/12/2023,3,480,3
10/13/2023,3,320,2
10/15/2023,3,800,5
10/16/2023,3,320,2
10/19/2023,3,320,2
10/21/2023,3,640,4
10/22/2023,3,320,2
10/26/2023,3,480,3
10/30/2023,3,480,3
10/31/2023,3,800,5
11/1/2023,3,960,6
11/2/2023,3,800,5
11/6/2023,3,320,2
11/7/2023,3,800,5
11/8/2023,3,480,3
11/11/2023,3,160,1
11/12/2023,3,1120,7
11/14/2023,3,800,5
11/15/2023,3,1280,8
11/16/2023,3,160,1
11/18/2023,3,640,4
11/19/2023,3,640,4
11/20/2023,3,160,1
11/21/2023,3,320,2
11/22/2023,3,800,5
11/23/2023,3,960,6
11/24/2023,3,288,2
11/25/2023,3,864,6
11/26/2023,3,608,4
11/27/2023,3,432,3
11/29/2023,3,320,2
11/30/2023,3,160,1
12/2/2023,3,480,3
12/4/2023,3,800,5
12/7/2023,3,640,4
12/9/2023,3,320,2
12/10/2023,3,160,1
12/11/2023,3,960,6
12/12/2023,3,160,1
12/16/2023,3,160,1
12/17/2023,3,1440,9
12/18/2023,3,160,1
12/19/2023,3,160,1
12/25/2023,3,320,2
12/26/2023,3,960,6
12/27/2023,3,640,4
12/29/2023,3,800,5
12/31/2023,3,800,5
1/1/2024,3,480,3
1/2/2024,3,160,1
1/3/2024,3,160,1
1/4/2024,3,320,2
1/5/2024,3,160,1
1/13/2024,3,640,4
1/14/2024,3,1280,8
1/15/2024,3,960,6
1/16/2024,3,800,5
1/17/2024,3,320,2
1/18/2024,3,160,1
1/21/2024,3,160,1
1/24/2024,3,320,2
9/6/2024,3,640,5
9/7/2024,3,1664,13
9/8/2024,3,384,3
9/9/2024,3,1280,10
9/11/2024,3,1408,11
9/12/2024,3,1024,8
9/13/2024,3,384,3
9/14/2024,3,128,1
9/15/2024,3,384,3
9/16/2024,3,1408,11
9/17/2024,3,896,7
9/18/2024,3,512,4
9/19/2024,3,1408,11
9/20/2024,3,384,3
9/21/2024,3,640,5
9/22/2024,3,256,2
9/23/2024,3,1792,14
9/24/2024,3,896,7
9/25/2024,3,640,5
